vessel_volume,feed_temperature,feed_mass_flow,tr2-butene_mass_fr,feed_mass_dens,prod_mass_dens,prod_temperature
0.11,25.0,0.6389,0.9573,619.3468,565.4878,53.0337
0.11,26.0,0.6389,0.9572,618.1544,564.3414,53.8754
0.11,28.0,0.6389,0.957,615.7575,562.0321,55.5593
0.11,29.0,0.6389,0.9569,614.5528,560.8693,56.4014
0.11,29.0,0.6389,0.9569,614.5528,560.8693,56.4014
0.11,29.0,0.6389,0.9569,614.5528,560.8693,56.4014
0.11,29.0,0.6389,0.9569,614.5528,560.8693,56.4014
0.11,29.0,0.6389,0.9569,614.5528,560.8693,56.4014
0.11,29.0,0.6389,0.9569,614.5528,560.8693,56.4014
0.11,29.0,0.6389,0.9564,607.2332,553.7677,61.4576
0.11,36.0,0.6389,0.9563,605.9974,552.5646,62.2992
0.11,36.0,0.6389,0.9563,604.7568,551.3535,63.142
0.11,37.0,0.6389,0.9562,604.7568,551.3535,63.142
0.11,38.0,0.6389,0.9561,603.5113,550.136,63.9848
0.11,38.0,0.6389,0.9561,603.5113,550.136,63.9848
0.11,38.0,0.6389,0.9561,603.5113,550.136,63.9848
0.11,38.0,0.6389,0.9561,603.5113,550.136,63.9848
0.11,43.0,0.6389,0.9556,597.2088,543.9472,68.1985
0.11,43.0,0.6389,0.9556,597.2088,543.9472,68.1985
0.11,43.0,0.6389,0.9556,597.2088,543.9472,68.1985
0.11,43.0,0.6389,0.9556,597.2088,543.9472,70.7259
0.11,46.0,0.6389,0.9553,593.3636,540.1482,70.7259
0.11,46.0,0.6389,0.9553,593.3636,540.1482,70.7259
0.11,48.0,0.6389,0.9551,590.772,537.5782,72.4096
0.11,48.0,0.6389,0.9551,590.772,537.5782,72.4096
0.11,48.0,0.6389,0.9551,590.772,537.5782,72.4096
0.11,51.0,0.6389,0.9548,586.8402,533.6619,74.9345
0.11,51.0,0.6389,0.9548,586.8402,575.0377,46.0279
0.11,17.0,0.8056,0.9474,627.5852,573.9328,46.8688
0.11,18.0,0.8056,0.9474,627.5852,573.9328,46.8688
0.11,18.0,0.8056,0.9474,627.5852,573.9328,46.8688
0.11,18.0,0.8056,0.9474,627.5852,573.9328,46.8688
0.11,21.0,0.8056,0.9471,624.0771,570.5885,49.3931
0.11,21.0,0.8056,0.9471,624.0771,570.5885,49.3931
0.11,21.0,0.8056,0.9471,624.0771,570.5885,49.3931
0.11,25.0,0.8056,0.9467,619.3468,566.0574,52.763
0.11,25.0,0.8056,0.9467,619.3468,566.0574,52.763
0.11,25.0,0.8056,0.9467,619.3468,566.0574,52.763
0.11,25.0,0.8056,0.9467,619.3468,566.0574,52.763
